cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
noise_re2	icd_chapter	XII	True	17	9.09	2	0.409	4.31	0.3955	0.4099	0.928035982008996	-0.706	0.759861462583471	0.129	0.0755	0.1817	1	0.1439	0.1439	0.363	0.963315181432431	1	11	5
noise_re2	icd_chapter	XI	True	52	26.91	6	0.241	7.25	0.35	0.3714	1	-1.316	0.905908091398327	0.1128	0.0756	0.1497	0.974	0.1248	0.1215	0.334	0.998330743101218	1	12	5
noise_re2	icd_chapter	III	True	4	3	1	0.508	2.02	0.322	0.3134	0.878060969515243	-0.864	0.806207365955288	0.1073	0.0302	0.1831	0.734	0.1253	0.092	0.931	0.707172577058275	1	13	5
noise_re2	icd_chapter	XIX	True	9	5.08	0	0.574	3.34	0.2343	0.2459	0.99800099950025	-1.496	0.932692987109268	0.0699	-0.003	0.1421	0.883	0.1031	0.091	0	1	1	14	5
noise_re2	icd_chapter	II	True	22	11.19	1	0.29	3.95	0.2294	0.2163	1	-2.159	0.984589185894292	0.0286	-0.0114	0.0685	0.704	0.0842	0.0593	0.126	0.998995524469205	1	15	5
noise_re2	icd_chapter	VII	True	27	16.31	0	0.191	3.92	0.2102	0.0908	1	-2.56	0.994767247872741	-0.0193	-0.0591	0.0206	0.272	0.0824	-0.0224	0	1	1	16	5
noise_re3	icd_chapter	XIII	True	81	30.64	66	0.464	14.75	0.7212	0.7291	0.000499750124937531	1.641	0.0503540547649775	0.2971	0.2673	0.3263	0.999	0.3109	0.3106	4.939	4.7622185747026e-09	0.00399800099950025	1	5
noise_re3	icd_chapter	X	True	40	14	29	0.528	7.87	0.6749	0.6807	0.000499750124937531	1.309	0.095307962095678	0.2844	0.252	0.3162	1	0.3002	0.3002	2.535	0.00648000302296389	0.00399800099950025	2	5
noise_re3	icd_chapter	I	True	4	3	4	0.522	2.04	0.7759	0.7759	0.0274862568715642	1.33	0.0917443493191646	0.347	0.2937	0.3982	1	0.35	0.35	Inf	0.076391440167475	0.146593369981676	3	5
noise_re3	icd_chapter	IV	True	18	11.04	12	0.335	4.36	0.6138	0.6326	0.0489755122438781	0.785	0.216198347588082	0.2438	0.2139	0.2731	1	0.2492	0.2492	1.832	0.166976977320325	0.195902048975512	4	5
noise_re3	icd_chapter	IX	True	50	19.12	30	0.356	7.45	0.5581	0.5765	0.0904547726136932	0.494	0.310643716886662	0.2122	0.1886	0.2355	1	0.2069	0.2069	1.39	0.174133107587595	0.289455272363818	5	5
noise_re3	icd_chapter	VI	True	25	14.3	14	0.274	4.65	0.5094	0.4899	0.430284857571214	0.074	0.470677696420153	0.215	0.1824	0.2471	0.825	0.2207	0.1821	1.15	0.449013387410108	1	6	5
noise_re3	icd_chapter	XV	True	23	11.5	10	0.326	4.43	0.4766	0.4915	0.656171914042979	-0.18	0.571498016079465	0.2335	0.1964	0.27	1	0.2349	0.2349	0.678	0.869147709916588	1	7	5
noise_re3	icd_chapter	XII	True	17	9.09	8	0.409	4.31	0.4349	0.4566	0.810594702648676	-0.439	0.669814928060572	0.2004	0.1582	0.2418	1	0.2108	0.2108	0.791	0.765103067413103	1	8	5
noise_re3	icd_chapter	V	True	42	13.07	17	0.654	8.89	0.4108	0.3947	0.973513243378311	-0.642	0.739428062745779	0.1466	0.1137	0.1792	0.77	0.1741	0.134	0.583	0.965879398999117	1	9	5
noise_re3	icd_chapter	XIV	True	43	18.87	20	0.361	7.45	0.4071	0.4269	0.974012993503248	-0.738	0.769665043504403	0.1673	0.1346	0.1997	0.964	0.1907	0.1838	0.762	0.844326203216528	1	10	5
noise_re3	icd_chapter	VIII	True	11	6.11	5	0.426	3.18	0.3952	0.3984	0.868065967016492	-0.667	0.747667390811626	0.1582	0.1139	0.2019	0.902	0.1937	0.1748	0.743	0.785956153217542	1	11	5
noise_re3	icd_chapter	XI	True	52	26.91	22	0.241	7.25	0.3745	0.392	0.999000499750125	-1.1	0.864400655078461	0.1446	0.1167	0.1723	0.909	0.1743	0.1584	0.626	0.958698386117609	1	12	5
noise_re3	icd_chapter	XIX	True	9	5.08	4	0.574	3.34	0.3342	0.3429	0.951524237881059	-0.933	0.824675772705282	0.1225	0.0706	0.1737	0.915	0.1677	0.1535	0.713	0.798732606267775	1	13	5
noise_re3	icd_chapter	III	True	4	3	1	0.508	2.02	0.3276	0.3636	0.87656171914043	-0.837	0.79868339578862	0.153	0.0948	0.2101	1	0.1569	0.1569	0.296	0.950687455493883	1	14	5
noise_re3	icd_chapter	II	True	22	11.19	3	0.29	3.95	0.2756	0.143	1	-1.791	0.96331844027509	-0.0401	-0.069	-0.0112	0.024	0.1143	0.0028	0.132	0.999984947599821	1	15	5
noise_re3	icd_chapter	VII	True	27	16.31	0	0.191	3.92	0.1541	0.1281	1	-3.055	0.998874492838099	-0.0016	-0.0303	0.027	0.072	0.0771	0.0056	0	1	1	16	5
noise_re4	icd_chapter	X	True	40	14	35	0.528	7.87	0.8852	0.8852	0.000499750124937531	2.882	0.00197340774703666	0.3989	0.3486	0.4468	1	0.4413	0.4413	16.181	9.06674583581015e-13	0.00399800099950025	1	5
noise_re4	icd_chapter	V	True	42	13.07	28	0.654	8.89	0.7115	0.7142	0.000499750124937531	1.522	0.0640670937428901	0.3006	0.2482	0.3512	1	0.301	0.301	4.276	1.10412371984448e-05	0.00399800099950025	2	5
